log_price,long,lat
10.431170293368542,508605.945922247,220581.671029609
10.819778284410283,511746.927365233,223493.297044878
11.59910316121128,508113.884843963,215728.749324149
11.938193200374572,506941.119663693,222805.198566381
10.839580911706465,508274.059945793,225483.266473172
11.14475614160576,508080.122956948,225270.120849351
9.574983485564092,515556.171250497,218253.340771619
11.350406535472452,511515.051838678,228299.136643292
10.51867319162636,498101.699938966,208156.815863673
11.002099841204238,511967.637059356,227257.958321389
11.170435156023451,509775.358566496,229309.363979732
8.942460926820582,515486.59834416,218103.980077563
12.204571519403906,491399.230512777,208621.072921766
10.558413520275876,515518.962650077,218679.957165689
10.221941283654663,509578.974877195,218441.658135123
11.26446410567173,501690.052039067,223546.948968231
11.407564949312402,496364.352323871,223128.037791952
11.797352244701337,499297.636448315,224902.217658431
12.154779351142624,497691.385886957,226788.23349904
12.0015054797889,499388.21019476,224888.854531952
13.005829561148378,502583.548438427,226226.967382545
11.184421397998191,506006.446152506,226861.519354983
10.736396675471232,510616.917789177,225095.269950667
11.55214617812351,505882.939472649,215656.324519293
11.018629143155447,497374.325324743,220737.538639061
12.220961258023925,498726.247592656,227406.868605603
11.119882876860622,506781.368034211,228218.773349983
10.63344870621879,508128.737479441,222050.65261693
12.079374992484215,499434.726011848,222860.274413541
9.798127036878302,514185.831975827,224096.41312423
11.740061037553977,504563.027633768,221880.142897593
10.991207400037814,503193.063906802,218838.37426433
12.367340793126296,508982.23985284,222115.437978725
10.915088464214609,512897.228185004,226934.620304062
11.512925464970229,498022.654186829,215694.025521336
11.092854204472705,512707.471808146,226964.446655638
12.367340793126296,502751.967952062,226563.050982605
11.456355113481834,507320.606251345,229504.363941031
11.320553572322773,509081.467122527,226991.631877164
11.820410164718188,503591.638781695,228566.688318961
10.505067539570582,509055.086964696,224606.383793493
11.418614785498988,507984.270832655,226332.445701286
11.407564949312402,511576.246709333,222921.895355834
11.6784399034478,504020.499815759,212740.132145465
11.082142548877776,502192.945651507,221249.769930532
10.933106969717286,509954.048318091,218500.42368287
10.927035001141991,509844.670589464,225871.796001513
11.603679828238691,501128.295515799,222541.22460975
11.33857207782545,507136.594122256,214686.644414936
11.211820372186306,508417.708119783,225089.799356811
11.215193056664946,505888.947927541,213653.384936158
10.431170293368542,510820.37309987,225099.543638362
11.8635823365834,505163.013670913,216414.203177721
10.16585181700362,513311.564375786,223711.483652047
11.00043178410354,508111.600367451,220234.69089565
11.37366339763672,500223.379072882,222762.979142348
11.184421397998191,511895.630492439,227675.4783338
8.699514748210191,509917.300020024,222961.721178501
8.922658299524402,511132.779582087,223787.914976804
10.736396675471232,515340.843083501,217288.631363148
11.05089000537367,508499.37458292,224137.406844194
12.948009990259552,495167.488115911,219044.02876976
10.789319076925574,505702.081584816,228793.21462522
11.320553572322773,511817.977354496,223583.62621034
10.933106969717286,513943.426751012,224671.982329207
9.210340371976184,507679.603923133,220129.537603738
10.373491181781864,512401.887238465,223643.759283073
11.225243392518449,505451.859749574,226877.830360731
10.714417768752456,509355.333514685,218116.889345157
11.27720313144916,508996.280720658,223362.188473171
10.819778284410283,511590.620207752,225941.738538336
11.002099841204238,504805.246094568,229047.851608325
11.771436160121729,504645.244002047,215440.532683391
11.883799128308771,508907.696127525,221816.915345719
9.629050706834368,513429.93113428,224084.503640806
12.729320789294722,506619.437779266,212443.501986132
10.896739325546411,508940.426241933,224639.255252036
10.968198289528557,504719.932120178,227892.873662938
10.23995978915734,513919.918539851,224388.687495641
9.210340371976184,511109.958127365,219451.529198226
11.225243392518449,506181.204623396,228911.744597496
11.104957226643943,504363.887399741,212050.071013694
10.46310334047155,500336.501605244,218598.081710623
10.349774655164548,511420.873507451,218510.941817926
11.177452728682098,508642.403921976,223691.526654008
10.993731591533722,508860.073579187,218046.10978726
11.030849254490224,505923.634783268,228846.544306171
