"fit","se.fit","accel","times"
6.31066258643988,8.11090493650718,0,2
6.2793596073449,7.96034102401016,0,2.05605605605606
6.24805662824992,7.81213267376666,0,2.11211211211211
6.21675364915494,7.66641650127603,0,2.16816816816817
6.18545067005995,7.52333731757744,0,2.22422422422422
6.15414769096497,7.38304843418897,0,2.28028028028028
6.12284471186999,7.24571192731385,0,2.33633633633634
6.09156375245646,7.11170990202408,0,2.39239239239239
6.06034815010558,6.9814929145193,0,2.44844844844845
6.02920726878278,6.85508220732077,0,2.5045045045045
5.99814980912081,6.73249414725885,0,2.56056056056056
5.96718447175238,6.61374710276159,0,2.61661661661662
5.93631995731018,6.4988609616744,0,2.67267267267267
5.90556496642693,6.38785660215696,0,2.72872872872873
5.87492819973535,6.28075531712555,0,2.78478478478478
5.84441835786814,6.17757819368909,0,2.84084084084084
5.81404414145801,6.07834545016008,0,2.8968968968969
5.78381425113767,5.98307573449831,0,2.95295295295295
5.75373738753984,5.89178538944161,0,3.00900900900901
5.72382225129722,5.80448769106113,0,3.06506506506507
5.69407754304253,5.72119206900225,0,3.12112112112112
5.66451196340847,5.64190331817746,0,3.17717717717718
5.63513421302776,5.5666208130954,0,3.23323323323323
5.6059529925331,5.49533773726193,0,3.28928928928929
5.57697700255721,5.42804034109283,0,3.34534534534535
5.54821494373281,5.36470724244969,0,3.4014014014014
5.51967551669258,5.30530878417629,0,3.45745745745746
5.49136742206926,5.2498064628078,0,3.51351351351351
5.46329936049555,5.19815244190821,0,3.56956956956957
5.43548003260415,5.15028916224397,0,3.62562562562563
5.40791813902779,5.10614905923822,0,3.68168168168168
5.38062238039917,5.06565439591587,0,3.73773773773774
5.353601457351,5.02871721692318,0,3.79379379379379
5.32686407051599,4.99523942629364,0,3.84984984984985
5.30041892052686,4.96511298856411,0,3.90590590590591
5.27427470801631,4.93822024976439,0,3.96196196196196
5.24844013361705,4.91443437185596,0,4.01801801801802
5.2229238979618,4.89361987152124,0,4.07407407407407
